"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Percent"
"2023","Borough","1","1","1","Bronx","Bronx","Bronx","-","49.2 (47.9, 50.5)"
"2023","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","-","31.1 (30.2, 31.9)"
"2023","Borough","4","1","4","Queens","Queens","Queens","-","28.0 (27.0, 29.0)"
"2023","Borough","3","1","3","Manhattan","Manhattan","Manhattan","-","25.1 (24.1, 26.1)"
"2023","Borough","5","1","5","Staten Island","Staten Island","Staten Island","-","10.0 (8.3, 11.7)"
"2021","Borough","1","1","1","Bronx","Bronx","Bronx","-","45.2 (43.3, 47.1)"
"2021","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","-","25.9 (24.7, 27.1)"
"2021","Borough","4","1","4","Queens","Queens","Queens","-","24.1 (23.0, 25.3)"
"2021","Borough","3","1","3","Manhattan","Manhattan","Manhattan","-","23.8 (22.7, 25.0)"
"2021","Borough","5","1","5","Staten Island","Staten Island","Staten Island","-","9.2 (7.7, 10.6)"
"2017","Borough","1","1","1","Bronx","Bronx","Bronx","176,000","39.4 (36.8, 41.9)"
"2017","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","230,000","26.5 (25.2, 27.8)"
"2017","Borough","3","1","3","Manhattan","Manhattan","Manhattan","142,000","20.0 (18.4, 21.7)"
"2017","Borough","4","1","4","Queens","Queens","Queens","141,000","19.8 (18.2, 21.4)"
"2017","Borough","5","1","5","Staten Island","Staten Island","Staten Island","8,000","5.2 (3.7, 6.7)"
"2014","Borough","1","1","1","Bronx","Bronx","Bronx","155,000","35.0 (32.8, 37.2)"
"2014","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","215,000","26.4 (24.8, 27.9)"
"2014","Borough","3","1","3","Manhattan","Manhattan","Manhattan","131,000","19.7 (18.3, 21)"
"2014","Borough","4","1","4","Queens","Queens","Queens","135,000","19.3 (17.8, 20.8)"
"2014","Borough","5","1","5","Staten Island","Staten Island","Staten Island","7,000","4.8 (3.3, 6.3)"
"2011","Borough","1","1","1","Bronx","Bronx","Bronx","155,000","37.7 (35.4, 40)"
"2011","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","215,000","26.6 (25.1, 28)"
"2011","Borough","3","1","3","Manhattan","Manhattan","Manhattan","130,000","20.6 (18.8, 22.4)"
"2011","Borough","4","1","4","Queens","Queens","Queens","125,000","19.7 (18.1, 21.3)"
"2011","Borough","5","1","5","Staten Island","Staten Island","Staten Island","8,000","5.2 (3.8, 6.6)"
"2008","Borough","1","1","1","Bronx","Bronx","Bronx","-","42.3"
"2008","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","-","32.9"
"2008","Borough","3","1","3","Manhattan","Manhattan","Manhattan","-","26.4"
"2008","Borough","4","1","4","Queens","Queens","Queens","-","23.7"
"2008","Borough","5","1","5","Staten Island","Staten Island","Staten Island","-","6.0"
